service_date,day_class,table,field,empty,dash
2024-11-01,laboral,viajes,tipodia,0,0
2024-11-01,laboral,viajes,factor_expansion,0,0
2024-11-01,laboral,viajes,n_etapas,0,0
2024-11-01,laboral,viajes,tviaje,0,1343047
2024-11-01,laboral,viajes,tviaje2,0,711627
2024-11-01,laboral,viajes,distancia_eucl,0,561952
2024-11-01,laboral,viajes,distancia_ruta,0,0
2024-11-01,laboral,viajes,tiempo_inicio_viaje,0,0
2024-11-01,laboral,viajes,tiempo_fin_viaje,0,561993
2024-11-01,laboral,viajes,periodo_inicio_viaje,0,0
2024-11-01,laboral,viajes,periodo_fin_viaje,0,0
2024-11-01,laboral,viajes,comuna_inicio_viaje,0,0
2024-11-01,laboral,viajes,comuna_fin_viaje,0,0
2024-11-01,laboral,viajes,zona_inicio_viaje,0,647
2024-11-01,laboral,viajes,zona_fin_viaje,0,563433
2024-11-01,laboral,viajes,netapassinbajada,0,0
2024-11-01,laboral,viajes,ultimaetapaconbajada,0,0
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,0,0
2024-11-01,laboral,viajes,id_tarjeta,0,0
2024-11-01,laboral,viajes,id_viaje,0,0
2024-11-01,laboral,etapas,tipo_dia,0,0
2024-11-01,laboral,etapas,tipo_transporte,0,0
2024-11-01,laboral,etapas,fExpansionServicioPeriodoTS,0,0
2024-11-01,laboral,etapas,fExpansionZonaPeriodoTS,0,594875
2024-11-01,laboral,etapas,tiene_bajada,0,0
2024-11-01,laboral,etapas,tiempo2,0,0
2024-11-01,laboral,etapas,tiempo_subida,0,0
2024-11-01,laboral,etapas,tiempo_bajada,0,593257
2024-11-01,laboral,etapas,tiempo_etapa,0,593257
2024-11-01,laboral,etapas,x_subida,0,0
2024-11-01,laboral,etapas,y_subida,0,0
2024-11-01,laboral,etapas,x_bajada,0,593257
2024-11-01,laboral,etapas,y_bajada,0,593257
2024-11-01,laboral,etapas,dist_ruta_paraderos,0,593257
2024-11-01,laboral,etapas,dist_eucl_paraderos,0,593257
2024-11-01,laboral,etapas,comuna_subida,0,928
2024-11-01,laboral,etapas,comuna_bajada,0,595025
2024-11-01,laboral,etapas,zona_subida,0,928
2024-11-01,laboral,etapas,zona_bajada,0,595025
2024-11-01,laboral,etapas,periodoSubida,0,0
2024-11-01,laboral,etapas,periodoBajada,0,593257
2024-11-01,laboral,etapas,id_etapa,0,0
2024-11-01,laboral,etapas,correlativo_viajes,0,0
2024-11-02,sabado,viajes,tipodia,0,0
2024-11-02,sabado,viajes,factor_expansion,0,0
2024-11-02,sabado,viajes,n_etapas,0,0
2024-11-02,sabado,viajes,tviaje,0,1742429
2024-11-02,sabado,viajes,tviaje2,0,864591
2024-11-02,sabado,viajes,distancia_eucl,0,647837
