service_date,day_class,table,field,category,count
2024-11-01,laboral,viajes,tipodia,2,1343047
2024-11-01,laboral,viajes,n_etapas,1,985930
2024-11-01,laboral,viajes,n_etapas,2,311191
2024-11-01,laboral,viajes,n_etapas,3,44216
2024-11-01,laboral,viajes,n_etapas,4,1612
2024-11-01,laboral,viajes,n_etapas,5,88
2024-11-01,laboral,viajes,n_etapas,6,3
2024-11-01,laboral,viajes,n_etapas,7,4
2024-11-01,laboral,viajes,n_etapas,8,2
2024-11-01,laboral,viajes,n_etapas,9,1
2024-11-01,laboral,viajes,netapassinbajada,0,764416
2024-11-01,laboral,viajes,netapassinbajada,1,565535
2024-11-01,laboral,viajes,netapassinbajada,2,12861
2024-11-01,laboral,viajes,netapassinbajada,3,223
2024-11-01,laboral,viajes,netapassinbajada,4,12
2024-11-01,laboral,viajes,ultimaetapaconbajada,0,561952
2024-11-01,laboral,viajes,ultimaetapaconbajada,1,781095
2024-11-01,laboral,viajes,periodo_inicio_viaje,80,3716
2024-11-01,laboral,viajes,periodo_inicio_viaje,81,4236
2024-11-01,laboral,viajes,periodo_inicio_viaje,82,40530
2024-11-01,laboral,viajes,periodo_inicio_viaje,83,429842
2024-11-01,laboral,viajes,periodo_inicio_viaje,84,481685
2024-11-01,laboral,viajes,periodo_inicio_viaje,85,280241
2024-11-01,laboral,viajes,periodo_inicio_viaje,86,97003
2024-11-01,laboral,viajes,periodo_inicio_viaje,87,5794
2024-11-01,laboral,viajes,periodo_fin_viaje,-1,561993
2024-11-01,laboral,viajes,periodo_fin_viaje,80,1149
2024-11-01,laboral,viajes,periodo_fin_viaje,81,1584
2024-11-01,laboral,viajes,periodo_fin_viaje,82,13484
2024-11-01,laboral,viajes,periodo_fin_viaje,83,243597
2024-11-01,laboral,viajes,periodo_fin_viaje,84,282173
2024-11-01,laboral,viajes,periodo_fin_viaje,85,158491
2024-11-01,laboral,viajes,periodo_fin_viaje,86,70779
2024-11-01,laboral,viajes,periodo_fin_viaje,87,9797
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,M15M,21182
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,M3B,84806
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,M40M,6177
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,MS_B_B,11443
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,MS_B_B_NB,6645
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,MS_MT_MT,3849
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,MS_M_B,12758
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,MS_M_M,146749
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,RD,28720
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,SM2H,247088
2024-11-01,laboral,viajes,tipo_corte_etapa_viaje,UE,773630
2024-11-01,laboral,etapas,tipo_dia,DOMINGO,1751628
2024-11-01,laboral,etapas,tiene_bajada,0,593257
2024-11-01,laboral,etapas,tiene_bajada,1,1158371
2024-11-01,laboral,etapas,tipo_transporte,BUS,897574
2024-11-01,laboral,etapas,tipo_transporte,METRO,811849
2024-11-01,laboral,etapas,tipo_transporte,METROTREN,29360
2024-11-01,laboral,etapas,tipo_transporte,ZP,12845
2024-11-01,laboral,etapas,periodoSubida,01 - PRE NOCTURNO DOMINGO,4105
2024-11-01,laboral,etapas,periodoSubida,02 - NOCTURNO DOMINGO,4773
2024-11-01,laboral,etapas,periodoSubida,03 - TRANSICION DOMINGO MANANA,54401
2024-11-01,laboral,etapas,periodoSubida,04 - MANANA DOMINGO,574138
2024-11-01,laboral,etapas,periodoSubida,05 - MEDIODIA DOMINGO,611905
2024-11-01,laboral,etapas,periodoSubida,06 - TARDE DOMINGO,361854
2024-11-01,laboral,etapas,periodoSubida,07 - TRANSICION DOMINGO NOCTURNO,131262
2024-11-01,laboral,etapas,periodoSubida,08 - PRE NOCTURNO DOMINGO,9190
2024-11-01,laboral,etapas,periodoBajada,01 - PRE NOCTURNO DOMINGO,1555
2024-11-01,laboral,etapas,periodoBajada,02 - NOCTURNO DOMINGO,2129
2024-11-01,laboral,etapas,periodoBajada,03 - TRANSICION DOMINGO MANANA,27911
2024-11-01,laboral,etapas,periodoBajada,04 - MANANA DOMINGO,378885
2024-11-01,laboral,etapas,periodoBajada,05 - MEDIODIA DOMINGO,401231
2024-11-01,laboral,etapas,periodoBajada,06 - TARDE DOMINGO,234025
2024-11-01,laboral,etapas,periodoBajada,07 - TRANSICION DOMINGO NOCTURNO,100579
2024-11-01,laboral,etapas,periodoBajada,08 - PRE NOCTURNO DOMINGO,12056
2024-11-02,sabado,viajes,tipodia,1,1742429
2024-11-02,sabado,viajes,n_etapas,1,1292313
2024-11-02,sabado,viajes,n_etapas,10,1
2024-11-02,sabado,viajes,n_etapas,112,1
2024-11-02,sabado,viajes,n_etapas,12,1
2024-11-02,sabado,viajes,n_etapas,17,1
2024-11-02,sabado,viajes,n_etapas,2,394929
2024-11-02,sabado,viajes,n_etapas,22,1
2024-11-02,sabado,viajes,n_etapas,3,53112
2024-11-02,sabado,viajes,n_etapas,4,1939
2024-11-02,sabado,viajes,n_etapas,5,123
2024-11-02,sabado,viajes,n_etapas,6,6
2024-11-02,sabado,viajes,n_etapas,8,2
2024-11-02,sabado,viajes,netapassinbajada,0,1070942
2024-11-02,sabado,viajes,netapassinbajada,1,655121
2024-11-02,sabado,viajes,netapassinbajada,2,16014
2024-11-02,sabado,viajes,netapassinbajada,3,336
2024-11-02,sabado,viajes,netapassinbajada,4,16
2024-11-02,sabado,viajes,ultimaetapaconbajada,0,647837
2024-11-02,sabado,viajes,ultimaetapaconbajada,1,1094592
2024-11-02,sabado,viajes,periodo_inicio_viaje,71,2272
2024-11-02,sabado,viajes,periodo_inicio_viaje,72,3188
2024-11-02,sabado,viajes,periodo_inicio_viaje,73,17865
2024-11-02,sabado,viajes,periodo_inicio_viaje,74,185181
2024-11-02,sabado,viajes,periodo_inicio_viaje,75,342716
2024-11-02,sabado,viajes,periodo_inicio_viaje,76,408631
2024-11-02,sabado,viajes,periodo_inicio_viaje,77,505419
2024-11-02,sabado,viajes,periodo_inicio_viaje,78,268018
2024-11-02,sabado,viajes,periodo_inicio_viaje,79,9139
2024-11-02,sabado,viajes,periodo_fin_viaje,-1,647872
2024-11-02,sabado,viajes,periodo_fin_viaje,71,913
2024-11-02,sabado,viajes,periodo_fin_viaje,72,1080
2024-11-02,sabado,viajes,periodo_fin_viaje,73,3393
2024-11-02,sabado,viajes,periodo_fin_viaje,74,101373
2024-11-02,sabado,viajes,periodo_fin_viaje,75,219110
2024-11-02,sabado,viajes,periodo_fin_viaje,76,265166
2024-11-02,sabado,viajes,periodo_fin_viaje,77,316927
2024-11-02,sabado,viajes,periodo_fin_viaje,78,173919
2024-11-02,sabado,viajes,periodo_fin_viaje,79,12676
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,M15M,28070
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,M3B,107916
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,M40M,12621
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,MS_B_B,13820
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,MS_B_B_NB,7505
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,MS_MT_MT,5905
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,MS_M_B,19960
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,MS_M_M,219589
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,RD,38773
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,SM2H,339694
2024-11-02,sabado,viajes,tipo_corte_etapa_viaje,UE,948576
2024-11-02,sabado,etapas,tipo_dia,SABADO,2255130
2024-11-02,sabado,etapas,tiene_bajada,0,689923
2024-11-02,sabado,etapas,tiene_bajada,1,1565207
