service_date,day_class,table,field,unique_nonempty_values,both_present,valid_epsg_32719_broad,invalid_or_outside_broad_range
2024-11-01,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-01,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-01,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-01,laboral,viajes,zona_fin_viaje,799,,,
2024-11-01,laboral,etapas,comuna_subida,36,,,
2024-11-01,laboral,etapas,comuna_bajada,36,,,
2024-11-01,laboral,etapas,zona_subida,798,,,
2024-11-01,laboral,etapas,zona_bajada,799,,,
2024-11-01,laboral,etapas,coordinates_subida,,1751628,1750932,696
2024-11-01,laboral,etapas,coordinates_bajada,,1158371,1158371,0
2024-11-02,sabado,viajes,comuna_inicio_viaje,37,,,
2024-11-02,sabado,viajes,comuna_fin_viaje,37,,,
2024-11-02,sabado,viajes,zona_inicio_viaje,799,,,
2024-11-02,sabado,viajes,zona_fin_viaje,798,,,
2024-11-02,sabado,etapas,comuna_subida,36,,,
2024-11-02,sabado,etapas,comuna_bajada,36,,,
2024-11-02,sabado,etapas,zona_subida,799,,,
2024-11-02,sabado,etapas,zona_bajada,798,,,
2024-11-02,sabado,etapas,coordinates_subida,,2255130,2254391,739
2024-11-02,sabado,etapas,coordinates_bajada,,1565207,1565207,0
2024-11-03,domingo,viajes,comuna_inicio_viaje,37,,,
2024-11-03,domingo,viajes,comuna_fin_viaje,37,,,
2024-11-03,domingo,viajes,zona_inicio_viaje,799,,,
2024-11-03,domingo,viajes,zona_fin_viaje,799,,,
2024-11-03,domingo,etapas,comuna_subida,36,,,
2024-11-03,domingo,etapas,comuna_bajada,36,,,
2024-11-03,domingo,etapas,zona_subida,799,,,
2024-11-03,domingo,etapas,zona_bajada,799,,,
2024-11-03,domingo,etapas,coordinates_subida,,1426271,1425960,311
2024-11-03,domingo,etapas,coordinates_bajada,,927189,927189,0
2024-11-04,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-04,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-04,laboral,viajes,zona_inicio_viaje,799,,,
2024-11-04,laboral,viajes,zona_fin_viaje,799,,,
2024-11-04,laboral,etapas,comuna_subida,36,,,
2024-11-04,laboral,etapas,comuna_bajada,36,,,
2024-11-04,laboral,etapas,zona_subida,799,,,
2024-11-04,laboral,etapas,zona_bajada,799,,,
2024-11-04,laboral,etapas,coordinates_subida,,4848086,4846178,1908
2024-11-04,laboral,etapas,coordinates_bajada,,3780116,3780116,0
2024-11-05,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-05,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-05,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-05,laboral,viajes,zona_fin_viaje,798,,,
2024-11-05,laboral,etapas,comuna_subida,36,,,
2024-11-05,laboral,etapas,comuna_bajada,36,,,
2024-11-05,laboral,etapas,zona_subida,798,,,
2024-11-05,laboral,etapas,zona_bajada,798,,,
2024-11-05,laboral,etapas,coordinates_subida,,4920173,4916256,3917
2024-11-05,laboral,etapas,coordinates_bajada,,3866804,3866804,0
2024-11-06,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-06,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-06,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-06,laboral,viajes,zona_fin_viaje,799,,,
2024-11-06,laboral,etapas,comuna_subida,36,,,
2024-11-06,laboral,etapas,comuna_bajada,36,,,
2024-11-06,laboral,etapas,zona_subida,798,,,
2024-11-06,laboral,etapas,zona_bajada,799,,,
2024-11-06,laboral,etapas,coordinates_subida,,4961991,4957936,4055
2024-11-06,laboral,etapas,coordinates_bajada,,3892914,3892914,0
2024-11-07,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-07,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-07,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-07,laboral,viajes,zona_fin_viaje,799,,,
2024-11-07,laboral,etapas,comuna_subida,36,,,
2024-11-07,laboral,etapas,comuna_bajada,36,,,
2024-11-07,laboral,etapas,zona_subida,798,,,
2024-11-07,laboral,etapas,zona_bajada,799,,,
2024-11-07,laboral,etapas,coordinates_subida,,4907388,4906299,1089
2024-11-07,laboral,etapas,coordinates_bajada,,3838203,3838203,0
2024-11-08,laboral,viajes,comuna_inicio_viaje,37,,,
2024-11-08,laboral,viajes,comuna_fin_viaje,37,,,
2024-11-08,laboral,viajes,zona_inicio_viaje,798,,,
2024-11-08,laboral,viajes,zona_fin_viaje,799,,,
2024-11-08,laboral,etapas,comuna_subida,36,,,
2024-11-08,laboral,etapas,comuna_bajada,36,,,
2024-11-08,laboral,etapas,zona_subida,798,,,
2024-11-08,laboral,etapas,zona_bajada,799,,,
2024-11-08,laboral,etapas,coordinates_subida,,4840021,4839495,526
2024-11-08,laboral,etapas,coordinates_bajada,,3680621,3680621,0
2024-11-09,sabado,viajes,comuna_inicio_viaje,37,,,
2024-11-09,sabado,viajes,comuna_fin_viaje,37,,,
2024-11-09,sabado,viajes,zona_inicio_viaje,798,,,
2024-11-09,sabado,viajes,zona_fin_viaje,797,,,
2024-11-09,sabado,etapas,comuna_subida,36,,,
2024-11-09,sabado,etapas,comuna_bajada,36,,,
2024-11-09,sabado,etapas,zona_subida,798,,,
2024-11-09,sabado,etapas,zona_bajada,797,,,
2024-11-09,sabado,etapas,coordinates_subida,,2667384,2666598,786
2024-11-09,sabado,etapas,coordinates_bajada,,1858703,1858703,0
