service_date,day_class,table,field,valid,missing,invalid,zero,negative,min,max,mean,std
2024-11-01,laboral,viajes,factor_expansion,1343047,0,0,563685,0,0.0,31.8002,0.9999998338851882,0.8716855207437803
2024-11-01,laboral,viajes,n_etapas,1343047,0,0,0,0,1.0,9.0,1.301457804529551,0.5335272958254504
2024-11-01,laboral,viajes,tviaje,0,1343047,0,0,0,,,,
2024-11-01,laboral,viajes,tviaje2,631420,711627,0,0,0,35.0,10326.0,1661.6065645687497,1090.7139013855992
2024-11-01,laboral,viajes,distancia_eucl,781095,561952,0,6,0,0.0,6321713.0,8378.651476463672,77603.28718033578
2024-11-01,laboral,viajes,distancia_ruta,1343047,0,0,584749,0,0.0,63965.0,5332.8317445331395,7124.262826491485
2024-11-01,laboral,viajes,tiempo_inicio_viaje,0,0,1343047,0,0,,,,
2024-11-01,laboral,viajes,tiempo_fin_viaje,0,561993,781054,0,0,,,,
2024-11-01,laboral,viajes,netapassinbajada,1343047,0,0,764416,0,0.0,4.0,0.44076938483910094,0.5164757190095133
2024-11-01,laboral,viajes,ultimaetapaconbajada,1343047,0,0,561952,0,0.0,1.0,0.5815842632461857,0.4932991060103161
2024-11-01,laboral,etapas,fExpansionServicioPeriodoTS,1751628,0,0,318689,0,0.0,52.1087,0.9982335710550414,0.6574625653441722
2024-11-01,laboral,etapas,fExpansionZonaPeriodoTS,1156753,594875,0,0,0,1.0004,14.006,1.5147131468861545,0.18672460675142616
2024-11-01,laboral,etapas,tiempo2,0,0,1751628,0,0,,,,
2024-11-01,laboral,etapas,tiempo_subida,0,0,1751628,0,0,,,,
2024-11-01,laboral,etapas,tiempo_bajada,0,593257,1158371,0,0,,,,
2024-11-01,laboral,etapas,tiempo_etapa,1158371,593257,0,5,0,0.0,10207.0,1141.0789582957445,791.0701137147845
2024-11-01,laboral,etapas,x_subida,1751628,0,0,0,696,-1.0,361068.0,346597.96085356025,8970.025155185907
2024-11-01,laboral,etapas,y_subida,1751628,0,0,0,696,-1.0,6316456.0,6293107.261691409,125641.44137637396
2024-11-01,laboral,etapas,x_bajada,1158371,593257,0,0,0,325724.0,361079.0,346929.2771814902,5592.619944380734
2024-11-01,laboral,etapas,y_bajada,1158371,593257,0,0,0,6270312.0,6312283.0,6295864.979015359,6317.265419690113
2024-11-01,laboral,etapas,dist_ruta_paraderos,1158371,593257,0,11274,0,0.0,52950.0,7403.534692253173,6147.6779432488365
2024-11-01,laboral,etapas,dist_eucl_paraderos,1158371,593257,0,0,0,7.0,6320125.0,16686.034736712158,258839.31145357343
2024-11-02,sabado,viajes,factor_expansion,1742429,0,0,649942,0,0.0,21.9012,0.9999994884153098,0.7927713653742056
2024-11-02,sabado,viajes,n_etapas,1742429,0,0,0,0,1.0,112.0,1.291359934895482,0.5315677246557974
2024-11-02,sabado,viajes,tviaje,0,1742429,0,0,0,,,,
2024-11-02,sabado,viajes,tviaje2,877838,864591,0,0,0,35.0,10965.0,1625.2669068780344,1060.7962867452643
