service_date,day_class,table,rows,chunks,selected_columns
2024-11-01,laboral,viajes,1343047,27,20
2024-11-01,laboral,etapas,1751628,36,23
2024-11-02,sabado,viajes,1742429,35,20
2024-11-02,sabado,etapas,2255130,46,23
2024-11-03,domingo,viajes,1106110,23,20
2024-11-03,domingo,etapas,1426271,30,23
2024-11-04,laboral,viajes,3626787,75,20
2024-11-04,laboral,etapas,4848086,99,23
2024-11-05,laboral,viajes,3670556,77,20
2024-11-05,laboral,etapas,4920173,101,23
2024-11-06,laboral,viajes,3699952,77,20
2024-11-06,laboral,etapas,4961991,102,23
2024-11-07,laboral,viajes,3672340,76,20
2024-11-07,laboral,etapas,4907388,101,23
2024-11-08,laboral,viajes,3636114,75,20
2024-11-08,laboral,etapas,4840021,98,23
2024-11-09,sabado,viajes,2064870,42,20
2024-11-09,sabado,etapas,2667384,53,23
2024-11-10,domingo,viajes,1182013,25,20
2024-11-10,domingo,etapas,1500391,31,23
2024-11-11,laboral,viajes,3541818,73,20
2024-11-11,laboral,etapas,4704552,96,23
2024-11-12,laboral,viajes,3550376,73,20
2024-11-12,laboral,etapas,4712293,96,23
2024-11-13,laboral,viajes,3600108,75,20
2024-11-13,laboral,etapas,4814084,99,23
2024-11-14,laboral,viajes,3633098,76,20
2024-11-14,laboral,etapas,4887839,100,23
2024-11-15,laboral,viajes,3615172,75,20
2024-11-15,laboral,etapas,4832617,98,23
2024-11-16,sabado,viajes,2051573,42,20
2024-11-16,sabado,etapas,2661105,53,23
2024-11-17,domingo,viajes,1191391,24,20
2024-11-17,domingo,etapas,1534904,32,23
2024-11-18,laboral,viajes,3558808,74,20
2024-11-18,laboral,etapas,4787836,98,23
2024-11-19,laboral,viajes,3625203,76,20
2024-11-19,laboral,etapas,4861726,100,23
2024-11-20,laboral,viajes,3655110,76,20
2024-11-20,laboral,etapas,4897118,100,23
2024-11-21,laboral,viajes,3587955,75,20
2024-11-21,laboral,etapas,4830969,99,23
2024-11-22,laboral,viajes,3524474,73,20
2024-11-22,laboral,etapas,4722466,96,23
2024-11-23,sabado,viajes,1962841,40,20
2024-11-23,sabado,etapas,2563888,51,23
2024-11-24,domingo,viajes,1560864,32,20
2024-11-24,domingo,etapas,2015003,41,23
2024-11-25,laboral,viajes,3504683,73,20
2024-11-25,laboral,etapas,4700060,96,23
2024-11-26,laboral,viajes,3578484,75,20
2024-11-26,laboral,etapas,4817522,99,23
2024-11-27,laboral,viajes,3618599,75,20
2024-11-27,laboral,etapas,4861139,100,23
2024-11-28,laboral,viajes,3602520,75,20
2024-11-28,laboral,etapas,4828015,99,23
2024-11-29,laboral,viajes,3620619,75,20
2024-11-29,laboral,etapas,4807235,98,23
