service_date,day_class,candidate,viajes_key_valid_rows,viajes_key_missing_rows,viajes_key_unique,viajes_key_duplicate_rows,etapas_key_valid_rows,etapas_key_missing_rows,etapas_key_groups,etapas_rows_in_groups,matched_groups,matched_stage_rows,matched_groups_n_etapas_equal_stage_rows,matched_groups_n_etapas_missing_or_invalid,matched_group_rate_pct,matched_viajes_rate_pct,stage_row_match_rate_pct,n_etapas_exact_rate_pct
2024-11-01,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1343047,0,1343047,0,1751628,0,1343047,1751628,1343047,1751628,1339541,0,100.0,100.0,100.0,99.739
2024-11-02,sabado,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1742429,0,1742429,0,2255130,0,1742429,2255130,1742429,2255130,1737650,0,100.0,100.0,100.0,99.7257
2024-11-03,domingo,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1106110,0,1106110,0,1426271,0,1106110,1426271,1106110,1426271,1102774,0,100.0,100.0,100.0,99.6984
2024-11-04,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3626787,0,3626787,0,4848086,0,3626787,4848086,3626787,4848086,3619715,0,100.0,100.0,100.0,99.805
2024-11-05,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3670556,0,3670556,0,4920173,0,3670556,4920173,3670556,4920173,3662792,0,100.0,100.0,100.0,99.7885
2024-11-06,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3699952,0,3699952,0,4961991,0,3699952,4961991,3699952,4961991,3692246,0,100.0,100.0,100.0,99.7917
2024-11-07,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3672340,0,3672340,0,4907388,0,3672340,4907388,3672340,4907388,3665097,0,100.0,100.0,100.0,99.8028
2024-11-08,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3636114,0,3636114,0,4840021,0,3636114,4840021,3636114,4840021,3628732,0,100.0,100.0,100.0,99.797
2024-11-09,sabado,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",2064870,0,2064870,0,2667384,0,2064870,2667384,2064870,2667384,2060162,0,100.0,100.0,100.0,99.772
2024-11-10,domingo,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1182013,0,1182013,0,1500391,0,1182013,1500391,1182013,1500391,1179088,0,100.0,100.0,100.0,99.7525
2024-11-11,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3541818,0,3541818,0,4704552,0,3541818,4704552,3541818,4704552,3535525,0,100.0,100.0,100.0,99.8223
2024-11-12,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3550376,0,3550376,0,4712293,0,3550376,4712293,3550376,4712293,3543799,0,100.0,100.0,100.0,99.8148
2024-11-13,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3600108,0,3600108,0,4814084,0,3600108,4814084,3600108,4814084,3593181,0,100.0,100.0,100.0,99.8076
2024-11-14,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3633098,0,3633098,0,4887839,0,3633098,4887839,3633098,4887839,3625558,0,100.0,100.0,100.0,99.7925
2024-11-15,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3615172,0,3615172,0,4832617,0,3615172,4832617,3615172,4832617,3607297,0,100.0,100.0,100.0,99.7822
2024-11-16,sabado,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",2051573,0,2051573,0,2661105,0,2051573,2661105,2051573,2661105,2046514,0,100.0,100.0,100.0,99.7534
2024-11-17,domingo,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1191391,0,1191391,0,1534904,0,1191391,1534904,1191391,1534904,1188111,0,100.0,100.0,100.0,99.7247
2024-11-18,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3558808,0,3558808,0,4787836,0,3558808,4787836,3558808,4787836,3551866,0,100.0,100.0,100.0,99.8049
2024-11-19,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3625203,0,3625203,0,4861726,0,3625203,4861726,3625203,4861726,3617726,0,100.0,100.0,100.0,99.7937
2024-11-20,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3655110,0,3655110,0,4897118,0,3655110,4897118,3655110,4897118,3647470,0,100.0,100.0,100.0,99.791
2024-11-21,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3587955,0,3587955,0,4830969,0,3587955,4830969,3587955,4830969,3580709,0,100.0,100.0,100.0,99.798
2024-11-22,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3524474,0,3524474,0,4722466,0,3524474,4722466,3524474,4722466,3517003,0,100.0,100.0,100.0,99.788
2024-11-23,sabado,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1962841,0,1962841,0,2563888,0,1962841,2563888,1962841,2563888,1957918,0,100.0,100.0,100.0,99.7492
2024-11-24,domingo,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",1560864,0,1560864,0,2015003,0,1560864,2015003,1560864,2015003,1549243,0,100.0,100.0,100.0,99.2555
2024-11-25,laboral,"viajes.(id_tarjeta,id_viaje) <-> etapas.(id_etapa,correlativo_viajes)",3504683,0,3504683,0,4700060,0,3504683,4700060,3504683,4700060,3498067,0,100.0,100.0,100.0,99.8112
