service_date,day_type,exclusion_reason,trip_count
2024-11-01,laboral,missing_origin_zone,218
2024-11-01,laboral,trip_without_final_bajada_flag,1
2024-11-01,laboral,primary_eligible,775904
2024-11-01,laboral,n_etapas_mismatch,3506
2024-11-01,laboral,missing_destination_zone,562992
2024-11-01,laboral,invalid_origin_coordinate,426
2024-11-02,sabado,missing_origin_zone,307
2024-11-02,sabado,trip_without_final_bajada_flag,13
2024-11-02,sabado,missing_destination_zone,649142
2024-11-02,sabado,invalid_origin_coordinate,427
2024-11-02,sabado,primary_eligible,1087761
2024-11-02,sabado,n_etapas_mismatch,4779
2024-11-03,domingo,missing_destination_zone,476365
2024-11-03,domingo,invalid_origin_coordinate,171
2024-11-03,domingo,primary_eligible,626088
2024-11-03,domingo,n_etapas_mismatch,3336
2024-11-03,domingo,missing_origin_zone,145
2024-11-03,domingo,trip_without_final_bajada_flag,5
2024-11-04,laboral,missing_origin_zone,632
2024-11-04,laboral,trip_without_final_bajada_flag,35
2024-11-04,laboral,primary_eligible,2637548
2024-11-04,laboral,n_etapas_mismatch,7072
2024-11-04,laboral,missing_destination_zone,980752
2024-11-04,laboral,invalid_origin_coordinate,748
2024-11-05,laboral,missing_origin_zone,489
2024-11-05,laboral,trip_without_final_bajada_flag,29
2024-11-05,laboral,missing_destination_zone,962430
2024-11-05,laboral,invalid_origin_coordinate,990
2024-11-05,laboral,primary_eligible,2698854
2024-11-05,laboral,n_etapas_mismatch,7764
2024-11-06,laboral,missing_origin_zone,550
2024-11-06,laboral,trip_without_final_bajada_flag,37
2024-11-06,laboral,missing_destination_zone,978025
2024-11-06,laboral,invalid_origin_coordinate,994
2024-11-06,laboral,primary_eligible,2712640
2024-11-06,laboral,n_etapas_mismatch,7706
2024-11-07,laboral,missing_origin_zone,563
2024-11-07,laboral,trip_without_final_bajada_flag,32
2024-11-07,laboral,missing_destination_zone,984392
2024-11-07,laboral,invalid_origin_coordinate,701
2024-11-07,laboral,primary_eligible,2679409
2024-11-07,laboral,n_etapas_mismatch,7243
2024-11-08,laboral,missing_origin_zone,813
2024-11-08,laboral,trip_without_final_bajada_flag,25
