service_date,day_type,valid_viajes_keys,valid_etapas_keys,matched_trips,primary_trips,secondary_trips,excluded_trips,primary_zero_weight_trips,primary_positive_weight_trips,primary_expanded_mass,parseable_start_time,parseable_end_time,output_bytes
2024-11-01,laboral,1343047,1751628,1343047,775904,148961,418182,0,775904,1336957.72329988,1343047,781054,76009995
2024-11-02,sabado,1742429,2255130,1742429,1087761,168327,486341,0,1087761,1734705.548899333,1742429,1094557,99099932
2024-11-03,domingo,1106110,1426271,1106110,626088,121948,358074,0,626088,1100259.1160999401,1106110,631075,62289400
2024-11-04,laboral,3626787,4848086,3626787,2637548,315211,674028,0,2637548,3616878.539100769,3626787,2649357,209477414
2024-11-05,laboral,3670556,4920173,3670556,2698854,309285,662417,0,2698854,3659775.149799112,3670556,2711823,212083565
2024-11-06,laboral,3699952,4961991,3699952,2712640,310977,676335,0,2712640,3689235.8777995105,3699952,2725464,213772778
2024-11-07,laboral,3672340,4907388,3672340,2679409,313029,679902,0,2679409,3662171.2747004125,3672340,2691766,211986937
2024-11-08,laboral,3636114,4840021,3636114,2554063,331192,750859,0,2554063,3625449.379499657,3636114,2566106,209248254
2024-11-09,sabado,2064870,2667384,2064870,1297589,201090,566191,0,1297589,2057203.4738998662,2064870,1305236,117150348
2024-11-10,domingo,1182013,1500391,1182013,668729,123102,390182,0,668729,1176857.5320001298,1182013,674665,66291402
2024-11-11,laboral,3541818,4704552,3541818,2531051,313213,697554,0,2531051,3532782.5007017697,3541818,2541947,203783472
2024-11-12,laboral,3550376,4712293,3550376,2552370,308601,689405,0,2552370,3540932.3125003385,3550376,2563809,204151176
2024-11-13,laboral,3600108,4814084,3600108,2624184,310595,665329,0,2624184,3590354.8885986554,3600108,2635826,207698186
2024-11-14,laboral,3633098,4887839,3633098,2647339,316009,669750,0,2647339,3622562.177602165,3633098,2659836,209858473
2024-11-15,laboral,3615172,4832617,3615172,2537920,330564,746688,0,2537920,3603770.883700399,3615172,2550523,208280878
2024-11-16,sabado,2051573,2661105,2051573,1289140,202308,560125,0,1289140,2043464.5948997992,2051573,1297350,116526153
2024-11-17,domingo,1191391,1534904,1191391,682731,128972,379688,0,682731,1185689.219699915,1191391,688230,67188911
2024-11-18,laboral,3558808,4787836,3558808,2568012,318672,672124,0,2568012,3549005.0495001064,3558808,2580508,205513975
2024-11-19,laboral,3625203,4861726,3625203,2651714,310104,663385,0,2651714,3614773.274798821,3625203,2665535,209388373
2024-11-20,laboral,3655110,4897118,3655110,2671454,310396,673260,0,2671454,3644450.5174017837,3655110,2685440,211201165
2024-11-21,laboral,3587955,4830969,3587955,2613563,310784,663608,0,2613563,3577811.5414007124,3587955,2626252,207384519
2024-11-22,laboral,3524474,4722466,3524474,2486458,321150,716866,0,2486458,3513707.524301188,3524474,2498985,203284381
2024-11-23,sabado,1962841,2563888,1962841,1236153,196215,530473,0,1236153,1954893.1362998919,1962841,1243713,111760884
2024-11-24,domingo,1560864,2015003,1560864,937144,155889,467831,0,937144,1541666.1172000505,1560864,950544,88192750
2024-11-25,laboral,3504683,4700060,3504683,2527964,311120,665599,0,2527964,3495323.09139934,3504683,2540571,202285323
2024-11-26,laboral,3578484,4817522,3578484,2622121,302960,653403,0,2622121,3567711.294101117,3578484,2635224,206870360
2024-11-27,laboral,3618599,4861139,3618599,2635947,310742,671910,0,2635947,3607840.8198009194,3618599,2650065,209088113
2024-11-28,laboral,3602520,4828015,3602520,2596595,311430,694495,0,2596595,3592338.1972001824,3602520,2610995,207757110
2024-11-29,laboral,3620619,4807235,3620619,2531848,324461,764310,0,2531848,3609367.175298347,3620619,2544756,208435942
