tile,cpc_numerator,observed_mass,predicted_mass,full_domain_observed_mass,origins,empty_assigned_tile,cpc,legacy_mixed_support_ratio
390,1912.0,956.0,956.0,1275.0,1,False,1.0,0.7498039215686274
94,65216.154649843615,35465.0,35465.0,74022.0,18,False,0.9194438834039703,0.44051872855261687
352,20224.34384380657,10981.0,10981.0,20376.0,4,False,0.9208789656591645,0.49627855918253266
119,17627.493133477976,8991.0,8991.000000000002,18116.0,2,False,0.9802854595416515,0.4865172536287805
216,0.0,0.0,0.0,0.0,1,False,0.0,0.0
101,10744.774023820912,5373.0,5373.0,10368.0,3,False,0.9998859132533884,0.5181700435870424
300,11175.97788893132,5676.0,5676.0,11160.0,2,False,0.984494176262449,0.5007158552388584
331,2770.0,1385.0,1385.0,2526.0,1,False,1.0,0.5482977038796516
23,199918.12502044326,150479.0,150479.0,207002.0,39,False,0.6642725065306231,0.4828893561908659
165,3681.9327051044056,1842.0,1841.9999999999998,3475.0,6,False,0.9994388450337691,0.52977448994308
156,200496.96371975204,129201.0,129201.0,162457.0,23,False,0.7759110367557218,0.6170770225959855
221,15368.18130212491,7921.0,7921.000000000001,13447.0,2,False,0.9700909798084151,0.5714353127881651
388,8528.141936162874,4265.0,4265.0,7000.0,2,False,0.9997821730554366,0.6091529954402053
275,0.0,0.0,0.0,0.0,1,False,0.0,0.0
362,1414.0,707.0,707.0,1026.0,1,False,1.0,0.6890838206627681
214,0.0,0.0,0.0,0.0,1,False,0.0,0.0
379,35456.95377385909,19484.0,19484.0,34542.0,7,False,0.9098992448639676,0.5132440763977055
47,15686.584880897874,8150.0,8150.0,15672.0,3,False,0.9623671706072315,0.5004653165166498
445,17965.630965207296,9552.0,9552.0,16687.0,8,False,0.9404120061352228,0.5383121880867531
284,1082.0,541.0,541.0,902.0,1,False,1.0,0.5997782705099778
88,14706.683179581723,7592.0,7592.000000000001,12663.0,2,False,0.9685644875909987,0.580695063554518
50,15490.906382593235,8126.0,8126.0,14543.0,3,False,0.9531692334846933,0.5325897814272583
447,0.0,0.0,0.0,0.0,2,False,0.0,0.0
78,18684.474846381854,10399.0,10399.0,16910.0,3,False,0.8983784424647492,0.5524682095322843
456,233598.83924128683,150759.0,150759.0,279779.0,38,False,0.7747425999153843,0.41747028769365613
206,0.0,0.0,0.0,0.0,3,False,0.0,0.0
135,21820.561441944454,11507.0,11507.0,19943.0,3,False,0.9481429322127598,0.5470731946533735
450,360476.8025292538,241207.0,241207.0,415871.0,64,False,0.7472353674007259,0.4333997832612202
248,7414.049087265643,3720.0,3720.0,7300.0,3,False,0.9965119740948445,0.5078115813195646
84,423904.9741179021,374992.0,374992.0,523017.0,89,False,0.5652186901559262,0.40524970901318896
140,0.0,0.0,0.0,0.0,0,True,0.0,0.0
57,7730.802248729012,3866.0,3866.0,7248.0,2,False,0.9998450916617967,0.533305894641902
401,60535.787830252484,35739.0,35739.0,57230.0,8,False,0.8469149644681229,0.5288815990761182
467,8841.087719181845,4563.0,4563.0,7440.0,6,False,0.968780157701276,0.5941591209127585
107,60402.43345864763,34439.0,34439.0,56001.0,9,False,0.8769481323303179,0.5392978112770096
32,500398.0689271819,501778.0,501778.0,702365.0,127,False,0.498624958574491,0.35622366499411406
147,27173.512760081983,14305.0,14305.0,27815.0,5,False,0.9497907291185593,0.4884686816480673
212,87668.03672965712,54626.0,54626.0,71432.0,14,False,0.802438735489118,0.6136468020611009
411,120223.1110232032,91567.0,91567.0,142146.0,28,False,0.6564761924230519,0.42288601516470103
389,0.0,0.0,0.0,0.0,1,False,0.0,0.0
251,3923.2495867449725,1962.0,1962.0000000000002,3497.0,2,False,0.9998087631867921,0.5609450367093184
