tile,partition,origins
81,train,5
53,train,6
392,train,1
344,train,55
20,train,8
35,train,0
242,train,1
194,train,2
416,train,2
201,train,1
134,train,12
330,train,2
276,train,1
464,train,6
410,train,7
28,train,3
413,train,4
247,train,4
431,train,2
77,train,1
69,train,1
112,train,11
468,train,1
446,train,1
243,train,1
197,train,1
351,train,7
310,train,1
199,train,4
168,train,2
229,train,2
12,train,1
162,train,73
183,train,12
215,train,1
24,train,6
133,train,3
124,train,4
432,train,1
382,train,32
74,train,14
357,train,3
109,train,3
292,train,1
387,train,6
375,train,13
455,train,29
180,train,1
394,train,1
108,train,4
370,train,96
0,train,1
336,train,1
75,train,1
316,train,46
374,train,31
233,train,4
100,train,3
136,train,6
406,train,3
433,train,1
64,train,3
298,train,1
211,train,16
188,train,3
427,train,108
380,train,8
29,train,2
458,train,6
340,train,4
329,train,11
131,train,16
200,train,1
353,train,2
398,train,28
63,train,5
234,train,1
436,train,1
294,train,4
232,train,29
145,train,9
249,train,2
273,train,1
182,train,3
11,train,3
404,train,7
137,train,13
171,train,22
418,train,2
350,train,17
193,train,5
123,train,3
337,train,1
1,train,2
327,train,2
179,train,2
154,train,2
220,train,1
79,train,3
61,train,3
236,train,1
48,train,4
407,train,3
219,train,1
314,train,1
415,train,7
102,train,10
346,train,25
149,train,13
424,train,2
291,train,2
420,train,1
65,train,1
7,train,1
142,train,4
426,train,2
400,train,23
466,train,6
62,train,4
122,train,5
312,train,1
89,train,3
324,train,3
159,train,1
403,train,12
52,train,4
421,train,1
254,train,2
67,train,2
265,train,4
83,train,61
121,train,3
470,train,4
33,train,28
449,train,60
172,train,6
51,train,3
366,train,1
250,train,2
269,train,6
378,train,7
262,train,1
231,train,4
428,train,54
68,train,2
205,train,2
130,train,2
92,train,9
71,train,6
185,train,1
6,train,8
317,train,1
343,train,589
376,train,23
423,train,4
115,train,1
372,train,446
120,train,3
393,train,1
252,train,3
384,train,20
167,train,3
129,train,2
459,train,12
304,train,1
228,train,7
435,train,2
289,train,1
385,train,20
409,train,3
315,train,1
313,train,1
175,train,2
443,train,1
27,train,3
322,train,3
19,train,3
419,train,2
150,train,5
217,train,2
272,train,1
225,train,1
198,train,1
226,train,1
279,train,4
259,train,1
144,train,4
381,train,7
34,train,12
184,train,2
90,train,2
176,train,3
390,test,1
94,test,18
352,test,4
119,test,2
216,test,1
101,test,3
300,test,2
331,test,1
23,test,39
165,test,6
156,test,23
221,test,2
388,test,2
275,test,1
362,test,1
214,test,1
379,test,7
47,test,3
445,test,8
284,test,1
88,test,2
50,test,3
447,test,2
78,test,3
456,test,38
206,test,3
135,test,3
450,test,64
248,test,3
84,test,89
140,test,0
57,test,2
401,test,8
467,test,6
107,test,9
32,test,127
147,test,5
212,test,14
411,test,28
389,test,1
251,test,2
148,test,37
196,test,1
320,test,12
230,test,2
437,test,2
274,test,1
161,test,6
271,test,9
40,test,3
143,test,1
359,test,1
365,test,3
18,test,1
349,test,13
318,test,13
31,test,26
82,test,6
87,test,1
256,test,2
166,test,1
348,test,27
227,test,1
195,test,2
287,test,1
164,test,3
99,test,2
191,test,2
4,test,4
383,test,60
358,test,2
21,test,6
58,test,1
207,test,3
173,test,3
177,test,7
213,test,2
290,test,1
98,test,3
297,test,1
5,test,2
209,test,2
126,test,0
373,test,51
56,test,1
39,test,2
354,test,5
202,test,1
386,test,5
264,test,2
189,test,1
347,test,17
345,test,54
325,test,2
178,test,2
85,test,0
60,test,1
355,test,27
203,test,0
174,test,1
80,test,3
356,test,10
328,test,10
417,test,1
103,test,7
157,test,3
255,test,7
342,test,432
434,test,0
54,test,8
210,test,2
293,test,17
43,test,8
49,test,2
306,test,1
146,test,3
246,test,2
42,test,8
439,test,1
278,test,2
17,test,1
118,test,4
408,test,4
295,test,4
113,test,3
444,test,1
270,test,5
277,test,2
241,test,3
73,test,6
301,test,3
70,test,2
399,test,169
45,test,1
333,test,1
240,test,1
163,test,10
93,test,25
132,test,2
91,test,4
208,test,3
153,test,1
235,test,1
72,test,3
266,test,2
169,test,3
414,test,14
296,test,1
367,test,1
377,test,18
9,test,12
364,test,2
319,test,19
440,test,1
117,test,15
37,test,6
371,test,820
303,test,2
151,test,1
321,test,4
22,test,38
438,test,1
38,test,1
311,test,1
253,test,2
97,test,4
267,test,2
114,test,3
160,test,3
302,test,3
110,test,4
158,test,3
10,test,2
396,test,1
463,test,13
402,test,8
187,test,2
422,test,3
41,test,6
326,test,1
405,test,5
59,test,3
412,test,7
138,test,1
30,test,5
323,test,3
44,test,2
55,test,1
360,test,1
192,test,4
190,test,3
111,test,1
104,test,6
