endpoint_role,dtpm_commune_code,dpa_cut_com,endpoint_count,endpoint_share_within_dtpm_code,is_modal_mapping
origin,27,13118,136473,0.2567274970983113,False
origin,34,13101,10428354,0.9982206277951359,True
origin,27,13129,368405,0.6930286105566915,True
origin,14,13119,3311708,0.9944149309913678,True
origin,23,13123,6162273,0.9974842237910977,True
origin,24,13113,1046982,0.9859255994756707,True
origin,6,13201,2960974,0.9983010863404846,True
origin,37,13104,835461,0.9956786364226832,True
origin,16,13106,2850890,0.9976267395278394,True
origin,5,13110,2958027,0.9970893212641009,True
origin,39,13130,1389138,0.9903082054817275,True
origin,28,13111,375373,0.9176343181784846,True
origin,25,13120,2847482,0.8384663404062355,True
origin,2,13115,445083,0.9913137023005325,True
origin,18,13103,593212,0.9714037745118107,True
origin,30,13105,770130,0.9754691911432216,True
origin,4,13122,1335048,0.9150168398168113,True
origin,38,13127,1685633,0.9944185986145901,True
origin,3,13114,4211671,0.9978747304023251,True
origin,41,13109,1334720,0.9936623057950482,True
origin,20,13125,1597041,0.9999348838082954,True
origin,29,13112,414189,0.9539239281889473,True
origin,15,13124,1674747,0.9946725013764189,True
origin,31,13116,325657,0.9844647456438409,True
origin,40,13131,451449,0.9716123700335099,True
origin,35,13126,838830,0.9808445157458033,True
origin,17,13117,1406925,0.8303327823060639,True
origin,22,13132,784836,0.9981647735727395,True
origin,8,13401,1299145,0.9982971673501818,True
origin,4,13118,106422,0.07293964121663393,False
origin,32,13102,596147,0.9971481236158781,True
origin,33,13121,540766,0.9479622263787775,True
origin,19,13128,483432,0.9988347011132324,True
origin,26,13118,802464,0.5366044155330042,True
origin,28,13112,641,0.0015669843008218722,False
origin,26,13122,256937,0.17181272769096617,False
origin,21,13107,442304,0.9984424168273159,True
origin,36,13108,877814,0.9979354956061071,True
origin,25,13101,322541,0.0949750593334629,False
origin,25,13122,217911,0.06416582745887882,False
origin,18,13126,9755,0.01597412699062513,False
origin,41,13130,5611,0.004177235073885171,False
origin,26,13110,19696,0.013170635154147787,False
origin,27,13130,23559,0.04431823953557931,False
origin,5,13201,4332,0.001460227016087441,False
origin,13,13604,60450,0.9999503746712322,True
origin,24,13122,14398,0.013558358005439164,False
origin,17,13106,283622,0.1673867792406919,False
origin,4,13110,12883,0.008829766380954078,False
origin,33,13101,24479,0.04291166112426834,False
origin,40,13112,6840,0.014721106062986534,False
origin,35,13101,7377,0.008625931348016633,False
origin,30,13131,843,0.0010677684652379933,False
origin,0,13302,50608,0.9986778490379872,True
origin,18,13117,4586,0.007509722847668564,False
origin,14,13102,5138,0.0015428002455028184,False
origin,39,13109,10699,0.007627253368959025,False
origin,35,13117,3370,0.003940543397426603,False
origin,38,13108,7395,0.004362589921266903,False
origin,25,13118,5998,0.0017661643198294494,False
origin,34,13106,4931,0.0004720041068473332,False
origin,26,13129,415115,0.27758571344506794,False
origin,16,13101,4308,0.0015075208071465165,False
origin,4,13113,4674,0.0032034718671566684,False
origin,28,13110,8863,0.021666430355981675,False
origin,28,13131,23837,0.05827177032557093,False
origin,21,13127,514,0.001160286595303774,False
origin,30,13401,9358,0.011853116604622944,False
origin,17,13103,3216,0.0018980046753709697,False
origin,29,13110,9259,0.021324520088900147,False
origin,14,13124,11291,0.003390377106261643,False
origin,16,13117,1587,0.0005553471497078741,False
origin,31,13121,4320,0.013059408215335131,False
origin,8,13105,877,0.0006739098528386819,False
origin,30,13109,8644,0.0109487433137808,False
origin,34,13120,4141,0.000396383899098521,False
origin,34,13108,779,7.456726814724652e-05,False
origin,3,13113,3024,0.0007164788476442323,False
origin,35,13103,4452,0.0052057267671641655,False
origin,33,13116,5061,0.008871927650227627,False
origin,38,13104,595,0.00035101298217090027,False
origin,15,13103,2677,0.0015899346505380656,False
origin,2,13114,2886,0.006427860297605923,False
origin,5,13118,1059,0.00035696685365572484,False
origin,23,13101,11564,0.0018718592253086244,False
origin,36,13104,1002,0.0011391153098461854,False
origin,34,13123,6643,0.0006358797975637466,False
origin,3,13132,4455,0.0010555268737615921,False
origin,18,13124,3082,0.005046874360338969,False
origin,29,13111,2821,0.006497080804707562,False
origin,39,13129,191,0.00013616276226480735,False
origin,36,13128,721,0.0008196628127735525,False
origin,8,13116,284,0.00021823306522940214,False
origin,23,13120,3294,0.0005331982262337089,False
origin,31,13109,121,0.00036578435047582194,False
origin,32,13401,236,0.00039474652589604114,False
origin,5,13111,1413,0.0004762928840562221,False
origin,34,13127,1074,0.00010280519382560047,False
origin,5,13122,1702,0.0005737087676317693,False
origin,6,13110,1662,0.0005603481845831424,False
origin,27,13110,1828,0.0034387597890843833,False
origin,3,13123,1036,0.0002454603459521907,False
origin,15,13117,5324,0.0031620515799270304,False
origin,29,13131,2300,0.005297159110537892,False
origin,32,13121,38,6.356088128834561e-05,False
origin,40,13111,1688,0.0036329279289943374,False
origin,8,13119,582,0.00044722409846307057,False
origin,6,13112,2143,0.0007225187482320542,False
origin,40,13109,4076,0.00877240180010718,False
origin,35,13106,1155,0.0013505423216699484,False
origin,22,13114,1442,0.0018339546140746477,False
origin,39,13131,2502,0.0017836608962646491,False
origin,15,13106,602,0.00035754227105861617,False
origin,29,13105,2861,0.006589205310977787,False
origin,41,13131,1224,0.0009112343130342986,False
origin,29,13201,2453,0.0056495353470215,False
origin,17,13126,272,0.00016052775861346509,False
origin,25,13123,1527,0.00044963869896291585,False
origin,37,13128,443,0.0005279547889551382,False
origin,14,13401,383,0.00011500437797344871,False
origin,25,13113,385,0.00011336666607774892,False
origin,34,13126,692,6.623947311668111e-05,False
origin,31,13401,579,0.0017503234621942224,False
origin,2,13132,1014,0.0022584374018615404,False
origin,32,13119,1320,0.002207904297384637,False
origin,37,13125,513,0.0006113787962392457,False
origin,37,13127,1933,0.002303694372574,False
origin,26,13120,1236,0.0008265081768139046,False
origin,41,13105,1625,0.001209767776699947,False
origin,27,13111,1248,0.002347687208302686,False
origin,14,13106,1788,0.0005368872788943245,False
origin,24,13120,199,0.00018739500229770757,False
origin,23,13114,609,9.857854273719754e-05,False
origin,38,13123,192,0.00011326805475094596,False
origin,34,13121,191,1.8282860354459674e-05,False
origin,24,13114,345,0.0003248807828779352,False
origin,38,13107,1073,0.0006330032434779428,False
origin,28,13129,350,0.0008556076525548445,False
origin,17,13124,376,0.00022190601925978998,False
origin,8,13112,159,0.00012217977947702444,False
origin,30,13112,520,0.0006586472146189283,False
origin,19,13104,255,0.0005268638583789949,False
origin,8,13403,291,0.00022361204923153528,False
origin,40,13130,564,0.0012138455876497668,False
origin,38,13101,206,0.00012152718374320245,False
origin,6,13401,1234,0.00041604672670011897,False
origin,3,13115,455,0.0001078035303168405,False
origin,15,13302,47,2.7914429800257407e-05,False
origin,25,13129,216,6.360311655271108e-05,False
origin,39,13116,64,4.562521876935953e-05,False
origin,32,13106,108,0.0001806467152405612,False
origin,16,13126,95,3.3243843240231906e-05,False
origin,23,13113,27,4.370477264210728e-06,False
origin,34,13130,125,1.1965222745065231e-05,False
origin,39,13101,97,6.915072219731054e-05,False
origin,16,13102,187,6.54378809044565e-05,False
origin,29,13401,312,0.0007185711489077489,False
origin,20,13104,66,4.1323737043286616e-05,False
origin,37,13108,704,0.0008390071589715965,False
origin,15,13119,285,0.00016926835091645448,False
origin,27,13120,30,5.6434788661122264e-05,False
origin,5,13112,81,2.7303413735707e-05,False
origin,16,13124,73,2.5545269016178203e-05,False
origin,8,13102,21,1.6136952006399453e-05,False
origin,36,13127,76,8.639996362106795e-05,False
origin,19,13108,261,0.0005392606550467359,False
origin,33,13102,49,8.589694820414024e-05,False
origin,33,13130,94,0.00016478190063651393,False
origin,41,13116,52,3.8712568854398304e-05,False
origin,23,13127,48,7.76973735859685e-06,False
origin,0,13125,40,0.0007893438579181056,False
origin,21,13104,76,0.00017155988568693932,False
origin,16,13119,531,0.00018581558695329625,False
origin,39,13121,42,2.994154981739219e-05,False
origin,19,13103,2,4.132265555913685e-06,False
origin,19,13124,17,3.5124257225266326e-05,False
origin,31,13130,2,6.046022321914413e-06,False
origin,5,13129,48,1.6179800732270815e-05,False
origin,36,13101,16,1.818946602548799e-05,False
origin,15,13125,13,7.721012497943538e-06,False
origin,20,13107,20,1.2522344558571702e-05,False
origin,15,13128,22,1.3066328842673679e-05,False
origin,21,13125,100,0.00022573669169334123,False
origin,19,13126,29,5.9917850560748436e-05,False
origin,31,13102,18,5.441420089722971e-05,False
origin,30,13116,2,2.5332585177651085e-06,False
origin,31,13105,99,0.0002992781049347634,False
origin,20,13124,13,8.139523963071606e-06,False
origin,4,13120,15,1.0280718444020118e-05,False
origin,18,13128,40,6.550128955663814e-05,False
origin,35,13128,28,3.2740419919271476e-05,False
origin,24,13123,4,3.7667337145267854e-06,False
origin,40,13105,21,4.519637826355515e-05,False
origin,34,13129,13,1.244383165486784e-06,False
origin,37,13107,33,3.932846057679359e-05,False
origin,27,13101,38,7.148406563742153e-05,False
origin,27,13131,6,1.1286957732224453e-05,False
origin,32,13116,3,5.0179643122378115e-06,False
origin,0,13301,27,0.0005328071040947213,False
origin,20,13128,1,6.261172279285851e-07,False
origin,36,13126,1,1.1368416265929994e-06,False
origin,22,13107,1,1.2718131859047488e-06,False
origin,20,13301,2,1.2522344558571702e-06,False
origin,8,13201,2,1.5368525720380432e-06,False
origin,40,13129,1,2.152208488740721e-06,False
origin,13,13119,3,4.962532876780309e-05,False
origin,28,13130,2,4.889186586027683e-06,False
origin,16,13121,1,3.4993519200244115e-07,False
origin,41,13121,1,7.444724779691982e-07,False
origin,33,13109,1,1.7529989429416374e-06,False
origin,20,13302,2,1.2522344558571702e-06,False
origin,33,13106,1,1.7529989429416374e-06,False
destination,6,13201,2580899,0.9965026446385017,True
destination,36,13108,913624,0.9927490799165921,True
destination,3,13114,4423952,0.9954293904616399,True
destination,26,13118,752392,0.4934649953565001,True
destination,23,13123,6681661,0.9916883631146828,True
destination,16,13106,3016678,0.9891308588978981,True
destination,25,13120,2917288,0.8342230452740798,True
destination,41,13109,1267893,0.9897094317589277,True
destination,34,13101,11204134,0.992980534038822,True
destination,5,13110,2910621,0.9949215136808413,True
destination,14,13119,3116914,0.9925146978701264,True
destination,28,13111,291027,0.8746746572254648,True
destination,24,13113,1121866,0.9826164719154463,True
destination,38,13127,1638828,0.98430709280005,True
destination,16,13101,18694,0.006129528002735893,False
destination,35,13101,17493,0.02063004606468869,False
destination,4,13122,1275493,0.9154698384945875,True
destination,4,13118,105003,0.07536464680829073,False
destination,8,13401,1130984,0.9934480689854477,True
destination,37,13104,807602,0.9854669608254668,True
destination,29,13112,332627,0.9282000909707359,True
destination,31,13116,265386,0.9872880883025859,True
destination,23,13101,28176,0.0041818660538329175,False
destination,39,13130,1471466,0.9821873881955903,True
destination,27,13129,315329,0.6433513215746682,True
destination,32,13102,517677,0.9939862790389568,True
