CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,SUPERFICIE,canonical_name,area_km2_geometry,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,endpoint_expanded_mass_per_km2
13,131,13101,Metropolitana de Santiago,Santiago,Santiago,23.18,santiago,23.17923120956021,10798980.0,14869425.784000002,11662877.0,16342390.0853,1346542.3243384694
13,131,13123,Metropolitana de Santiago,Santiago,Providencia,14.45,providencia,14.444185477474214,6171675.0,8280880.3032,6712891.0,9244599.4735,1213324.199140968
13,131,13106,Metropolitana de Santiago,Santiago,Estación Central,14.38,estacioncentral,14.373756060032758,3143097.0,4808457.461799999,3354622.0,4771688.7813,666502.6318164861
13,131,13117,Metropolitana de Santiago,Santiago,Lo Prado,6.54,loprado,6.542801760285807,1421792.0,1928275.5012999994,1295442.0,1849130.6927000002,577337.7113346917
13,131,13120,Metropolitana de Santiago,Santiago,Ñuñoa,16.9,nunoa,16.892589159935227,2856397.0,3877202.1527999984,2933088.0,4086537.1126000006,471433.9045365462
13,131,13130,Metropolitana de Santiago,Santiago,San Miguel,9.63,sanmiguel,9.628341570710932,1419095.0,2005887.7997000006,1497863.0,2130327.5798000004,429587.52025190083
13,131,13109,Metropolitana de Santiago,Santiago,La Cisterna,10.01,lacisterna,10.007891489763644,1358261.0,1956396.4674999998,1297455.0,1877054.9468000003,383042.8635463288
13,131,13108,Metropolitana de Santiago,Santiago,Independencia,7.35,independencia,7.3524853665008765,886953.0,1282832.6626000002,936838.0,1335268.5842,356083.84325775015
13,131,13127,Metropolitana de Santiago,Santiago,Recoleta,15.61,recoleta,15.610942014036988,1689278.0,2405540.1309,1651608.0,2357563.0741000003,305113.1187802204
13,131,13118,Metropolitana de Santiago,Santiago,Macul,12.81,macul,12.808900289907294,1052416.0,1471517.4822000007,1027428.0,1452439.5963,228275.4188354419
13,131,13131,Metropolitana de Santiago,Santiago,San Ramón,6.32,sanramon,6.3143472481144585,482161.0,701070.0577,488317.0,707680.6632999999,223103.14362591796
13,131,13104,Metropolitana de Santiago,Santiago,Conchalí,10.94,conchali,10.938876697774962,837455.0,1224361.8449,820970.0,1191401.5236000002,220841.99641736355
13,131,13129,Metropolitana de Santiago,Santiago,San Joaquín,9.94,sanjoaquin,9.936937973555873,784339.0,1072565.5401,787370.0,1090865.5708,217716.07276379422
13,131,13126,Metropolitana de Santiago,Santiago,Quinta Normal,11.81,quintanormal,11.804259289724559,849674.0,1239165.8431000004,798591.0,1154998.2743000002,202822.0541956484
13,131,13121,Metropolitana de Santiago,Santiago,Pedro Aguirre Cerda,8.73,pedroaguirrecerda,8.72952253594989,545359.0,782043.8426000002,505753.0,724010.6746,172524.27163086773
13,131,13103,Metropolitana de Santiago,Santiago,Cerro Navia,11.05,cerronavia,11.052062373338128,603559.0,921596.2129,535252.0,787890.7429,154675.83316611996
