zone_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass
175,1295715,1701721.5489,1436323,1960082.2251999998
206,1259624,1672210.4371,1473395,2027114.957
285,1094358,1435084.7449,1182545,1619380.032
286,1032140,1413773.3155,1153402,1602776.6582
84,913314,1318274.3343000002,959864,1341461.6486000002
284,966519,1307110.4204,1042498,1440082.8477999999
179,913703,1198300.1679,1025384,1403337.4725000001
282,842994,1145807.277,1004673,1393809.8185
78,639800,1127750.3108,744192,1059571.9379
213,836854,1090826.1589,900961,1222173.8509
276,812284,1086703.8222,891518,1231061.0582
274,777940,1085240.891,880620,1233912.6344
380,631270,913617.5447000001,553223,794763.7054999999
819,656838,895608.3296,642483,931493.8118
266,605191,865984.7838000001,700621,996805.1811
215,589740,769942.6727,590352,803817.0537
123,568405,761960.7176000001,466785,661857.1205000001
232,556098,744602.1829,589123,813619.9999999999
231,544563,741219.244,592341,829152.383
178,545094,737530.2862999999,589546,807699.067
505,517646,722118.314,519893,735223.9559
281,531174,711435.9796999999,591603,819649.6378
181,512859,709487.2802,593296,828938.5066000002
77,454207,665228.1788,455336,656540.3026
214,506934,659216.108,565008,761873.4606999999
303,461053,640844.883,509811,720494.9172
306,467452,631431.5879,548053,762846.7469
8,448421,627975.1848,508662,711569.5621
468,471044,625454.4566,412365,589172.1405
240,468216,618142.8465999999,410437,567638.6055000001
470,415512,601541.4024,506159,727404.5007
452,434168,555372.0588,485336,655589.0356
257,407631,551315.2801,456820,640038.2236
71,329090,531517.2183,336774,472728.65869999997
280,382013,524725.5826000001,420822,592236.4583
557,356929,518571.2962,365841,513446.52890000003
773,370060,518534.66699999996,369265,534111.5654999999
222,375297,513733.1913,347326,478788.50680000003
299,361506,503099.36380000005,382166,538879.9491
79,352598,495888.6939,404345,578844.9694000001
55,347230,489291.00920000003,384861,542116.2141
37,325093,455553.48380000005,297580,420603.08950000006
476,336192,451411.41120000003,340939,482050.2979
23,318853,448275.8086,354758,506514.918
467,314322,440078.2129,341180,486310.3967
448,321161,434680.6405,342833,479221.6815
130,312312,432802.7860000001,316907,450833.51600000006
372,297841,421932.1539,313676,451786.8381
359,300833,418840.7514,325479,459287.1849
501,293917,407355.42339999997,320496,458581.52290000004
272,293516,406362.0125,329264,465989.47660000005
117,300265,404719.4152,286569,409865.9327
358,285773,403192.2635,303528,428327.5205
