unit_id,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_x_32719,unit_y_32719,unit_area_km2,unit_bbox_span_m,representation
87b2c5080ffffff,6697,10514.001800000004,5565,7737.305700000001,357817.66967436566,6292635.091174544,4.453734487187739,2693.501567386964,h3_r7
87b2c5081ffffff,825,1227.2406000000005,638,927.9173999999999,359766.60056268226,6291604.827809572,4.451746625780711,2692.882395823195,h3_r7
87b2c5082ffffff,74074,113836.73289999993,60843,87715.68649999998,355726.623211637,6291457.179665347,4.453813048024381,2693.7539375182823,h3_r7
87b2c5083ffffff,9464,14029.642400000002,8908,12561.937599999997,357675.89524647675,6290427.086142506,4.451826074005908,2693.134873431758,h3_r7
87b2c5084ffffff,231963,350859.9403000011,234169,335812.9047000003,357959.5013658133,6294843.717650648,4.455642369903897,2693.868029742269,h3_r7
87b2c5086ffffff,55389,86731.18579999996,52186,74999.44270000001,355868.1512794333,6293665.671788009,4.455721934042178,2694.12067755498,h3_r7
87b2c5090ffffff,739678,1030995.5142999996,750449,1069758.83,351685.3390444528,6291309.47371448,4.455875385854993,2694.6248169789906,h3_r7
87b2c5091ffffff,208495,306274.955300001,176094,253215.04030000037,353635.5395484681,6290279.232840448,4.4538897180525865,2694.005922361859,h3_r7
87b2c5092ffffff,213068,308914.65790000063,197836,284708.3414000001,349593.87777407974,6290131.321659982,4.455949273201796,2694.876308243489,h3_r7
87b2c5093ffffff,1309184,1806475.4471999647,1396392,1993644.808099992,351544.41912378103,6289101.250778027,4.453964497117696,2694.2575217462145,h3_r7
87b2c5094ffffff,242522,348309.6861000009,215017,306019.04580000014,351826.3167595047,6293518.318589503,4.457785745493718,2694.9918805717607,h3_r7
87b2c5095ffffff,413010,581078.8068,419728,594424.0572999999,353776.76369261777,6292487.590449892,4.455799606082578,2694.3729400242446,h3_r7
87b2c5096ffffff,705141,929847.0774000068,763264,1044098.9077999985,349734.5511490477,6292340.031956786,4.457860633612745,2695.2436494581634,h3_r7
87b2c5098ffffff,53456,81154.27119999997,52344,78025.10929999998,355443.7394365335,6287042.060784418,4.449993691338997,2693.0197633336065,h3_r7
87b2c5099ffffff,15161,22919.506500000007,10168,14755.9936,357392.51826020645,6286012.941485781,4.448007667013688,2692.400792189641,h3_r7
87b2c509affffff,404274,563579.2816999976,381040,545623.0993000001,353353.2641700113,6285864.383748863,4.450068361409326,2693.2711932518287,h3_r7
87b2c509bffffff,224972,340906.1320000001,190052,279737.0025999999,355302.38376795757,6284835.434562687,4.448083226052709,2692.6523299198598,h3_r7
87b2c509cffffff,118447,174456.6868,97829,140376.48420000004,355585.1525908682,6289249.309241269,4.45190363289523,2693.386965990532,h3_r7
87b2c509dffffff,10827,15888.168599999994,9598,13984.024600000002,357534.1781018771,6288219.702823512,4.449917133054892,2692.7679482438252,h3_r7
87b2c509effffff,152758,224053.40610000005,127963,183438.15250000003,353494.37303456804,6288071.497184003,4.451979302266813,2693.638673315407,h3_r7
87b2c50a2ffffff,92269,137137.63619999998,90149,128584.8478,358101.39030101453,6297052.965301101,4.457549719453198,2694.234260133526,h3_r7
87b2c50a4ffffff,381,573.3650999999999,450,626.5462000000001,360335.25470161776,6300441.111786561,4.45937306383339,2694.346669417224,h3_r7
87b2c50a6ffffff,24220,34858.184000000016,24907,34689.435800000014,358243.33646007604,6299262.833855437,4.459456533151583,2694.60025819327,h3_r7
87b2c50b0ffffff,672936,914127.8656999988,710279,998130.1423000005,354059.3847948759,6296906.170450758,4.459617788072542,2695.106279738189,h3_r7
87b2c50b1ffffff,302403,446093.5236000007,288679,412233.8432000001,356009.7367747617,6295874.785339866,4.457630288250588,2694.487185736536,h3_r7
87b2c50b2ffffff,463432,639894.4363999976,434321,604847.7212000001,351967.35224998475,6295727.785133599,4.45969557333383,2695.3587121549062,h3_r7
87b2c50b3ffffff,518397,718222.4026000022,507349,725274.2379999997,353918.0454478423,6294696.569743268,4.4577089636520135,2694.7397259394056,h3_r7
87b2c50b4ffffff,359049,491686.3826999984,369739,512562.23020000017,354200.78171438223,6299116.392301796,4.461526076642641,2695.4726010545273,h3_r7
87b2c50b5ffffff,268996,372854.73809999996,254836,354851.2707000002,356151.37967804435,6298084.520050772,4.459538107960083,2694.853461692692,h3_r7
87b2c50b6ffffff,714822,958592.1012000005,707329,982272.4110999997,352108.4454968689,6297937.873076537,4.461604866681707,2695.7253113660845,h3_r7
87b2c5180ffffff,140211,216146.81430000035,150975,213751.0013000001,358811.6929341473,6308108.511675896,4.467078375352485,2696.0619198242202,h3_r7
87b2c5181ffffff,84522,126677.03730000004,76627,109322.35540000006,360762.34407806676,6307074.839672249,4.465087232770152,2695.4424314651405,h3_r7
87b2c5182ffffff,12702,18687.300199999998,13482,18549.342899999996,356718.524976279,6306929.6650557695,4.467163987717702,2696.3162359795533,h3_r7
87b2c5183ffffff,150136,219071.0103000004,155422,215806.97790000003,358669.5180802452,6305896.1622257605,4.465173732096058,2695.696854739217,h3_r7
87b2c5184ffffff,27569,43344.84439999999,25747,36695.76020000002,358953.9249111833,6310321.480666285,4.468982469237742,2696.4267507507466,h3_r7
87b2c5185ffffff,10272,16890.2226,7495,10836.414299999995,360904.82114662044,6309287.321781438,4.4669908633207225,2695.8072181723546,h3_r7
87b2c5186ffffff,55333,81299.86309999993,56983,79580.73610000001,356860.4546227583,6309142.501483498,4.469069094367581,2696.6813453368377,h3_r7
87b2c518affffff,73371,105311.49729999992,64414,86326.25620000003,360477.56083506334,6302651.7344013825,4.461278330321431,2694.712156721158,h3_r7
87b2c518effffff,53478,77089.53709999997,45604,61584.08499999998,360619.92396736634,6304862.977120962,4.463183054202581,2695.077410858823,h3_r7
87b2c5191ffffff,112810,163345.89760000003,101000,140894.8861,354625.3177130121,6305750.7819992965,4.4672477002232265,2696.570166460646,h3_r7
87b2c5192ffffff,10249,15426.1663,7841,11116.500600000001,350579.80787604325,6305605.344667066,4.469317562189609,2697.4428140209056,h3_r7
87b2c5193ffffff,139693,198797.48230000012,121410,168906.59540000002,352532.07158440433,6304571.8625847325,4.467329512704553,2696.823711094854,h3_r7
87b2c5198ffffff,674318,915750.0513999964,630458,867438.3861999988,356434.8376297568,6302505.8518654145,4.463352133053759,2695.5853154772776,h3_r7
87b2c5199ffffff,99248,142739.20629999987,86185,121598.92949999994,358385.3398230262,6301473.323042434,4.461362808289747,2694.9660235572373,h3_r7
87b2c519affffff,1133308,1491328.2038000147,1137441,1547744.0530999957,354342.2361869279,6301327.2350250725,4.4634338266608236,2695.838689525379,h3_r7
87b2c519bffffff,218821,313888.0525000001,201974,283553.5263000002,356293.07996962534,6300294.875649838,4.461445390457195,2695.2195050602313,h3_r7
87b2c519cffffff,345157,487155.06050000177,352512,489233.04299999995,356576.65263861016,6304717.448425107,4.465258333040962,2695.950892571127,h3_r7
87b2c519dffffff,66247,94091.0901999999,64890,89263.67699999995,358527.4003697966,6303684.432590116,4.463268542177046,2695.331555862562,h3_r7
87b2c519effffff,263504,374192.37429999985,291577,403947.09910000017,354483.7481930029,6303538.698348512,4.465341035425988,2696.204544784734,h3_r7
87b2c51a2ffffff,6370,10262.557700000001,6830,9865.727499999997,359096.2139909609,6312535.068921956,4.470886011029135,2696.7913471508073,h3_r7
87b2c51b0ffffff,13353,19844.1774,11163,15120.338700000002,355050.3711594267,6312390.752176217,4.472964403762883,2697.6656263559125,h3_r7
87b2c51b1ffffff,25043,37842.92319999996,28182,39111.344000000005,357002.44155797357,6311355.957433638,4.47097365028209,2697.0462202714407,h3_r7
87b2c51b3ffffff,12465,18968.455700000002,11982,16539.378600000004,354908.6292160317,6310176.809187854,4.471059387105492,2697.300707612885,h3_r7
87b2c5400ffffff,2219,4133.065100000001,1613,2444.6943,329503.9249627571,6291601.371786911,4.468104001015916,2699.5871860338375,h3_r7
87b2c5401ffffff,7149,13637.679900000005,5816,8847.5098,331459.35087426397,6290570.075682666,4.466125409058072,2698.9692183110747,h3_r7
87b2c5403ffffff,1212,2236.1115999999997,847,1279.4531000000009,329366.01270687475,6289390.8964022985,4.4661853161185,2699.2182295113453,h3_r7
87b2c5405ffffff,644,1192.2568999999994,478,738.0074000000001,331597.569552263,6292780.685971167,4.468043099485131,2699.337897247693,h3_r7
87b2c5408ffffff,86931,132429.94570000013,71110,105174.12580000002,333275.7837908103,6287329.5984884575,4.462228623851895,2697.982319702278,h3_r7
87b2c5409ffffff,115391,174019.5796000001,106364,156179.374,335229.7888142301,6286299.426169645,4.460249621569685,2697.3642680475023,h3_r7
87b2c540bffffff,75252,113653.75789999988,62082,92177.6021,333137.4370953629,6285120.72292028,4.460310346161538,2697.613222018059,h3_r7
87b2c540cffffff,171264,268300.1502000007,135941,199457.22509999992,333414.18987102294,6289539.097480318,4.4641463765611915,2698.3511856199475,h3_r7
87b2c540dffffff,229743,346830.21989999985,202311,298066.20500000013,335368.44187991053,6288508.437086156,4.4621669062392,2697.7330883538816,h3_r7
87b2c5420ffffff,2926,4321.261199999998,2378,3379.1639,331874.18544689065,6297203.774889326,4.471876882411785,2700.0745564776007,h3_r7
87b2c5421ffffff,2871,4660.7228,860,1198.7597000000005,333829.7642564431,6296171.33230637,4.469896457757185,2699.456389125029,h3_r7
87b2c5422ffffff,2752,3805.1099999999988,2692,3719.2426,329779.9285611507,6296024.191663964,4.4719397769803395,2700.3244007680332,h3_r7
87b2c5425ffffff,46268,74178.93960000003,44150,63574.690000000024,333968.40771149006,6298383.322297584,4.4718120834843935,2699.8243243147153,h3_r7
87b2c5426ffffff,4328,6886.540399999997,3869,5672.984699999998,329918.0198716775,6298236.535614882,4.473856862617039,2700.692658239277,h3_r7
87b2c5428ffffff,167518,242770.88749999972,148411,216678.73590000003,335645.9256026354,6292928.328157088,4.465999893844018,2698.4700329834013,h3_r7
87b2c5429ffffff,744578,1036706.314899992,672159,956181.6554000003,337600.08412226266,6291897.009530429,4.464019053736585,2697.8517806587042,h3_r7
87b2c542affffff,143907,222737.84919999988,121682,179918.32129999995,333552.65531966195,6291749.219627071,4.46606360158819,2698.719819409831,h3_r7
87b2c542bffffff,368610,536764.3623999985,363367,537702.1393999994,335507.1541482613,6290718.071171671,4.464083664563143,2698.101676787832,h3_r7
87b2c542cffffff,80179,117845.92389999995,84174,122772.35889999992,335784.75622628164,6295139.207772533,4.467915591374114,2698.838156570331,h3_r7
87b2c542dffffff,656247,920192.6255000009,689535,993065.9893000006,337739.16128280497,6294107.401194317,4.465934285961794,2698.219859200646,h3_r7
87b2c542effffff,857,1314.685,684,1037.0340000000003,333691.180120303,6293959.964659185,4.4679802962258455,2699.0882207037066,h3_r7
87b2c5430ffffff,813,1123.6327,1084,1500.2300999999998,325728.79135380324,6295876.993271925,4.473978931343464,2701.1917381671956,h3_r7
87b2c5431ffffff,4829,6842.824999999998,3319,4669.712099999998,327685.6374952359,6294844.572699973,4.472000767068225,2700.5738570131944,h3_r7
87b2c5435ffffff,31908,45965.23830000002,29624,41473.308199999985,327823.4226322542,6297056.782353761,4.473918849943916,2700.942392339988,h3_r7
87b2c5440ffffff,159609,236219.09640000007,137584,209077.96629999997,343179.5785900475,6284388.9717171425,4.454244700566309,2695.26006123313,h3_r7
87b2c5441ffffff,532791,779699.8706000043,493991,724534.9033999994,345130.89457844367,6283359.8989581745,4.452263081511307,2694.641646867036,h3_r7
87b2c5442ffffff,28075,44500.3088,16916,25927.157100000004,341088.2809433406,6283210.814640279,4.454310022484333,2695.509730727528,h3_r7
87b2c5443ffffff,290756,437153.8619000018,260566,392600.2512,343039.93710110115,6282181.912293546,4.452329301007928,2694.8914254548145,h3_r7
87b2c5444ffffff,61693,94751.44819999993,53332,79090.84630000002,343319.2786217743,6286596.654364207,4.456159579139987,2695.6284661701648,h3_r7
87b2c5445ffffff,248435,358617.1405000004,225258,331125.1108000002,345270.8416705864,6285567.093947596,4.454177486924858,2695.0100054147188,h3_r7
87b2c5446ffffff,35563,56181.55140000002,21294,32001.83359999999,341227.67525488447,6285418.361815695,4.456225895255076,2695.8784129500855,h3_r7
87b2c5448ffffff,394,722.3360000000004,142,216.91090000000003,346941.48716454755,6280125.05928184,4.448366591504003,2693.654627964541,h3_r7
87b2c5449ffffff,54618,97436.42470000002,38984,58775.00120000003,348891.38093040924,6279097.108429246,4.4463846088345536,2693.0361365164863,h3_r7
87b2c544affffff,25726,40587.500900000014,17300,26634.7771,344851.17554764077,6278947.378955334,4.448432714436937,2693.9042383949854,h3_r7
87b2c544bffffff,133,247.25969999999998,20,31.559999999999995,346801.4094121406,6277919.598633971,4.44645162660207,2693.2858557326254,h3_r7
87b2c544cffffff,75733,122451.15609999996,63903,95897.25479999998,347081.62314962596,6282331.143445045,4.450281040781563,2694.023170237895,h3_r7
87b2c544dffffff,27136,44299.20710000001,18105,27607.857,349031.7642335925,6281302.705084012,4.448298581052315,2693.404631730111,h3_r7
87b2c544effffff,83256,125119.47769999994,40681,61840.61260000002,344991.00586488046,6281153.327205337,4.45034815645736,2694.273057738319,h3_r7
87b2c5456ffffff,40377,60555.18960000001,37258,55253.63440000001,335091.1949678021,6284091.0386905065,4.458331813267406,2696.9952162386617,h3_r7
87b2c5458ffffff,19820,29453.935599999997,12084,18891.1476,340809.6685111392,6278797.5909875315,4.45047672076371,2694.7716744675417,h3_r7
87b2c5459ffffff,229404,326796.7971000001,206455,308578.4375999999,342760.8298214981,6277769.66418269,4.4484969497142846,2694.1534628479276,h3_r7
87b2c545affffff,494,844.0880000000003,438,721.3122,338718.9493198631,6277619.671165913,4.450538169126809,2695.020403354487,h3_r7
87b2c545bffffff,4838,8989.095799999996,3970,6537.8679,340670.450424782,6276591.91504213,4.448559297197535,2694.4023011595127,h3_r7
87b2c545cffffff,76375,130366.96459999999,73781,113878.78909999995,340948.94535636296,6281003.890942112,4.452393630088542,2695.140817776497,h3_r7
87b2c545dffffff,156482,230050.02439999994,148415,223861.5562,342900.3541724405,6279975.476360086,4.450413383163575,2694.522559205885,h3_r7
87b2c5460ffffff,819453,1159197.8999000092,824267,1186404.7886999983,345550.9109192184,6289983.35256744,4.458004728033483,2695.746029296075,h3_r7
87b2c5461ffffff,149432,226930.8989999999,123917,181276.15479999996,347502.3803206762,6288953.134364611,4.456021267967474,2695.127413644863,h3_r7
87b2c5462ffffff,89882,142051.32560000004,71948,107952.69789999997,343459.03717868146,6288804.959967314,4.458073934035277,2695.99663990282,h3_r7
87b2c5463ffffff,870909,1263266.438199987,814864,1181343.4787999974,345410.8471234811,6287774.911906602,4.456091369998433,2695.3781330125057,h3_r7
87b2c5464ffffff,527857,750723.3669999982,524330,747919.5336999996,345691.0330398006,6292192.415661609,4.459917558341489,2696.113693895226,h3_r7
87b2c5465ffffff,144047,216561.1969000001,113784,165587.94470000005,347642.74905581935,6291161.709923349,4.45793362783928,2695.4950324231177,h3_r7
87b2c5466ffffff,232231,348378.67490000016,205211,305652.2177999998,343598.85424309835,6291013.888258296,4.45998776256547,2696.3645820629317,h3_r7
87b2c5468ffffff,235135,364305.46040000126,182473,270518.4455000002,349312.7049749958,6285715.767914057,4.452124971847143,2694.140931587084,h3_r7
87b2c5469ffffff,194640,291350.2004000002,116844,172591.69479999997,351262.7527409131,6284686.671795003,4.4501411431130435,2693.522237824858,h3_r7
87b2c546affffff,68354,106111.67629999995,52113,78077.61519999999,347221.81734939665,6284537.850857753,4.45219497174239,2694.39148218889,h3_r7
87b2c546bffffff,80492,128113.07729999993,78142,115675.05349999995,349172.2055878848,6283508.925001001,4.450212036284145,2693.7728968765587,h3_r7
87b2c546cffffff,173122,256758.5389000004,185897,272402.03510000004,349453.262376547,6287923.233556269,4.454037385053139,2694.508735499752,h3_r7
87b2c546dffffff,217595,324685.75970000034,193512,281515.18350000033,351403.5570163403,6286893.650048869,4.452053081968227,2693.889995239151,h3_r7
87b2c546effffff,410070,591488.1382000014,382023,555042.9254000002,347362.0697457934,6286745.181253384,4.454108381706737,2694.759563445521,h3_r7
87b2c5470ffffff,10749,18254.991100000003,9736,14343.089999999997,339414.39069760096,6288656.727552415,4.460122483925843,2696.865198733285,h3_r7
87b2c5471ffffff,16401,27441.6671,12495,18675.8277,341367.12827371224,6287626.53220126,4.458141245704151,2696.2468640723964,h3_r7
87b2c5472ffffff,23322,37036.592000000004,17881,26616.308300000015,337322.1068282556,6287478.094406474,4.460187000781099,2697.114926896058,h3_r7
87b2c5473ffffff,418,719.0073999999997,95,139.70719999999994,339275.184643841,6286448.069347562,4.458206662889669,2696.4967016323353,h3_r7
87b2c5474ffffff,118057,187028.68839999993,108076,160530.1306,339553.6556063384,6290866.008685637,4.462037778602385,2697.2334641119232,h3_r7
87b2c5475ffffff,134131,215993.11489999993,121441,183517.50199999998,341506.6399824652,6289835.32552913,4.460056071138828,2696.6150837310124,h3_r7
87b2c5476ffffff,190577,286601.5271000005,234291,354285.0569000002,337461.065965089,6289687.240511337,4.462103291107961,2697.4834697671467,h3_r7
87b2c5501ffffff,1094,2109.2058000000006,1116,1751.6944999999998,332428.13093216653,6306057.418483882,4.479537980544221,2701.5450700447545,h3_r7
87b2c5503ffffff,4045,7471.929100000001,4068,6365.940400000003,330332.6516548988,6304877.300252227,4.479604877528921,2701.7960266441805,h3_r7
87b2c5508ffffff,842,1445.2970000000005,527,772.8791999999995,334245.8725115389,6302809.16822415,4.475641716635965,2700.5594935091212,h3_r7
87b2c5509ffffff,85326,132404.0913999999,74691,110902.03940000004,336201.6029442331,6301775.579689101,4.473659466352996,2699.941128003178,h3_r7
87b2c550affffff,19224,37369.29909999999,12289,17922.774899999997,332151.03928413684,6301629.353120495,4.475708516674446,2700.810281728336,h3_r7
87b2c550bffffff,19022,30954.064600000027,18107,26325.10239999998,334107.11046877666,6300595.934361028,4.47372717068001,2700.1920258997707,h3_r7
