tile_id,partition,zona777_origin_expanded_mass,target_share,actual_share,tile_count_in_partition,seed,tile_size_m
E21_N419,train,54314.70100000003,0.7,0.6819677660520177,7,20260909,15000
E21_N420,train,0.0,0.7,0.6819677660520177,7,20260909,15000
E22_N418,train,2177062.8626,0.7,0.6819677660520177,7,20260909,15000
E22_N419,train,19386688.343999997,0.7,0.6819677660520177,7,20260909,15000
E22_N420,validation,5897241.794700005,0.15,0.13021460793814343,2,20260909,15000
E23_N418,validation,5272262.954699991,0.15,0.13021460793814343,2,20260909,15000
E23_N419,train,36711278.599299915,0.7,0.6819677660520177,7,20260909,15000
E23_N420,test,16110557.017799957,0.15,0.18781762600983876,1,20260909,15000
E24_N418,train,0.0,0.7,0.6819677660520177,7,20260909,15000
E24_N420,train,168256.66449999998,0.7,0.6819677660520177,7,20260909,15000
