representation,unit_id,tile_id,partition,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_bbox_span_m
h3_r7,87b2c5080ffffff,E23_N419,train,6697,10514.001800000004,5565,7737.305700000001,2693.501567386964
h3_r7,87b2c5081ffffff,E23_N419,train,825,1227.2406000000003,638,927.9174,2692.882395823195
h3_r7,87b2c5082ffffff,E23_N419,train,74074,113836.73289999992,60843,87715.68649999998,2693.7539375182823
h3_r7,87b2c5083ffffff,E23_N419,train,9464,14029.642400000002,8908,12561.937599999996,2693.134873431758
h3_r7,87b2c5084ffffff,E23_N419,train,231963,350859.9403000011,234169,335812.9047000003,2693.868029742269
h3_r7,87b2c5085ffffff,E23_N419,train,0,0.0,2,2.8262,2693.248812145903
h3_r7,87b2c5086ffffff,E23_N419,train,55389,86731.18579999996,52186,74999.44270000001,2694.12067755498
h3_r7,87b2c5090ffffff,E23_N419,train,739678,1030995.5142999996,750449,1069758.83,2694.6248169789906
h3_r7,87b2c5091ffffff,E23_N419,train,208495,306274.955300001,176094,253215.0403000004,2694.005922361859
h3_r7,87b2c5092ffffff,E23_N419,train,213068,308914.65790000063,197836,284708.3414000001,2694.876308243489
h3_r7,87b2c5093ffffff,E23_N419,train,1309184,1806475.447199965,1396392,1993644.808099992,2694.2575217462145
h3_r7,87b2c5094ffffff,E23_N419,train,242522,348309.6861000009,215017,306019.04580000014,2694.9918805717607
h3_r7,87b2c5095ffffff,E23_N419,train,413010,581078.8068,419728,594424.0572999999,2694.3729400242446
h3_r7,87b2c5096ffffff,E23_N419,train,705141,929847.0774000068,763264,1044098.9077999984,2695.2436494581634
h3_r7,87b2c5098ffffff,E23_N419,train,53456,81154.27119999997,52344,78025.10929999998,2693.0197633336065
h3_r7,87b2c5099ffffff,E23_N419,train,15161,22919.506500000007,10168,14755.9936,2692.400792189641
h3_r7,87b2c509affffff,E23_N419,train,404274,563579.2816999976,381040,545623.0993000001,2693.2711932518287
h3_r7,87b2c509bffffff,E23_N418,validation,224972,340906.1320000001,190052,279737.0025999999,2692.65232991986
h3_r7,87b2c509cffffff,E23_N419,train,118447,174456.6868,97829,140376.48420000004,2693.386965990532
h3_r7,87b2c509dffffff,E23_N419,train,10827,15888.168599999994,9598,13984.024600000002,2692.767948243825
