date,primary_trip_count,retained_trip_count,retained_expanded_mass
2024-11-01,775904,773840,1332645.6195000005
2024-11-02,1087761,1084933,1729407.2702000001
2024-11-03,626088,624412,1096761.3041999997
2024-11-04,2637548,2630554,3606120.383799999
2024-11-05,2698854,2691862,3649280.4690999985
2024-11-06,2712640,2705347,3678125.7099000006
2024-11-07,2679409,2672491,3651602.4046000014
2024-11-08,2554063,2547491,3614972.1542999996
2024-11-09,1297589,1294433,2051097.0292000002
2024-11-10,668729,667068,1173271.914
2024-11-11,2531051,2524316,3522179.562
2024-11-12,2552370,2545537,3530285.7716
2024-11-13,2624184,2616703,3578880.153100001
2024-11-14,2647339,2639782,3611025.9972
2024-11-15,2537920,2530764,3592233.1632
2024-11-16,1289140,1285496,2036635.5755
2024-11-17,682731,680836,1181748.1939999997
2024-11-18,2568012,2560652,3537434.3888000003
2024-11-19,2651714,2644086,3602984.3954999996
2024-11-20,2671454,2663399,3632328.9121000026
2024-11-21,2613563,2605813,3566030.093699999
2024-11-22,2486458,2479513,3502537.3144
2024-11-23,1236153,1232775,1948570.6205
2024-11-24,937144,934974,1537255.9650999997
2024-11-25,2527964,2520825,3484183.0377
2024-11-26,2622121,2614283,3555780.449799998
2024-11-27,2635947,2628027,3595767.359
2024-11-28,2596595,2588758,3580404.4423999996
2024-11-29,2531848,2524911,3598113.2842000006
