representation,origin_partition,destination_partition,is_cross_tile,trip_count,expanded_mass
zona777,test,test,False,3498438,4793551.1882
zona777,test,train,True,7084888,9687174.936699998
zona777,test,validation,True,1169109,1629830.8928999999
zona777,train,test,True,7158884,9877121.058300002
zona777,train,train,False,20307406,28914722.0867
zona777,train,train,True,10503614,14948940.3224
zona777,train,validation,True,3335871,4756817.704
zona777,validation,test,True,1407741,2041983.3435000002
zona777,validation,train,True,3869284,5766298.539100001
zona777,validation,validation,False,2064680,3190436.1916
zona777,validation,validation,True,113966,170786.6752
h3_r7,test,test,False,3936339,5378620.172399999
h3_r7,test,train,True,7480845,10220545.997299997
h3_r7,test,validation,True,1290688,1794208.6912999996
h3_r7,train,test,True,7676913,10603737.582199989
h3_r7,train,train,False,19411512,27694486.778399993
h3_r7,train,train,True,9589321,13665411.019400012
h3_r7,train,validation,True,3421703,4899023.140000001
h3_r7,validation,test,True,1565710,2264478.7989000003
h3_r7,validation,train,True,3895928,5800950.532800001
h3_r7,validation,validation,False,2117845,3265830.6488
h3_r7,validation,validation,True,127077,190369.5771
h3_r8,test,test,False,3383932,4638162.0367
h3_r8,test,train,True,7021296,9608252.086099999
h3_r8,test,validation,True,1113448,1552834.2459999998
h3_r8,train,test,True,7168449,9884384.7059
h3_r8,train,train,False,20630757,29368008.9065
h3_r8,train,train,True,10768220,15335418.7983
h3_r8,train,validation,True,3223987,4595180.8671
h3_r8,validation,test,True,1323950,1922719.1043000002
h3_r8,validation,train,True,3718092,5540530.368
h3_r8,validation,validation,False,2063426,3184797.8513
h3_r8,validation,validation,True,98324,147373.9684
