representation,unit_id,tile_id,partition,origin_trip_count,origin_expanded_mass,destination_trip_count,destination_expanded_mass,unit_bbox_span_m
zona777,0,E22_N419,train,51429,73245.2129,23707,34090.7161,2039.5593764827356
zona777,1,E22_N420,validation,28839,47012.6106,24460,36010.5768,1221.423961211869
zona777,10,E22_N420,validation,40418,65492.7497,34511,51492.0785,1331.7756765686208
zona777,100,E22_N420,validation,46155,69185.1341,22255,33160.0341,1212.0302322171628
zona777,101,E22_N420,validation,19140,30653.8862,20712,30535.5658,1261.861893653404
zona777,102,E22_N420,validation,35019,51147.7738,25364,37545.3344,995.7420015744864
zona777,103,E22_N419,train,49747,68921.207,22110,31867.8832,1032.5360896373168
zona777,104,E22_N419,train,54667,78159.2797,37087,54669.2465,1160.4327031600403
zona777,105,E22_N419,train,18721,29218.694600000003,20110,29125.0802,1152.5237889247364
zona777,106,E22_N419,train,21950,34146.4962,17745,26062.6068,1508.2011581889235
zona777,107,E22_N419,train,15566,22025.1088,9789,14215.0749,773.9590860884637
zona777,108,E22_N419,train,33001,47287.5825,28507,41196.223,1300.0117932761204
zona777,109,E22_N419,train,132699,183408.4087,144989,206959.3044,863.9758934988058
zona777,11,E22_N420,validation,138762,195867.2042,160785,232515.7066,1694.1165404376225
zona777,110,E22_N419,train,211851,301350.89660000004,279857,398444.3212,1246.3119159514315
zona777,111,E22_N419,train,44978,64573.4019,36958,54156.2809,1076.2260205354542
zona777,112,E22_N419,train,57978,84105.7204,37526,54831.9147,1094.171451613307
zona777,113,E22_N419,train,21296,30337.0667,9013,13597.974400000001,611.8918318906799
zona777,114,E22_N419,train,34283,42383.752700000005,21608,31109.2545,751.1669234210858
zona777,115,E22_N419,train,743,1115.3053,318,446.4895,936.8246451063314
zona777,116,E22_N419,train,86267,118411.1874,102454,147472.3579,946.0736308165942
zona777,117,E22_N419,train,300122,404519.11130000005,286188,409162.0524,1553.6733861510877
zona777,118,E22_N419,train,54555,72325.3386,38309,54566.9403,812.147410649748
zona777,119,E22_N419,train,87079,121370.0852,98541,141267.5767,821.8460538201034
zona777,12,E22_N420,validation,20633,31047.9794,20695,30697.643500000002,1131.6166477992665
zona777,120,E22_N419,train,11062,14450.9296,8750,12503.8657,1004.1125270568882
zona777,121,E22_N419,train,13011,17245.2878,11571,16435.9483,904.6831838373328
zona777,122,E22_N419,train,3177,4501.4339,6265,9209.2856,642.5979980221018
zona777,123,E22_N419,train,568201,761679.1303999998,466512,661354.9054,1262.7705581138143
zona777,124,E22_N419,train,17707,23626.7409,11368,16296.017,584.6998911256087
zona777,125,E22_N419,train,18515,28410.2012,14709,21735.4925,1394.925569443032
zona777,126,E22_N419,train,24845,35809.7818,26635,38515.7031,1157.442850857624
zona777,127,E22_N419,train,48264,68295.01209999999,25209,36929.631199999996,770.651433875144
zona777,128,E22_N419,train,13831,19630.2037,9319,13891.1889,690.3447323423461
zona777,129,E22_N419,train,1761,2418.982,1375,1986.7821,856.685248285532
zona777,13,E22_N420,validation,28050,44979.8601,21641,31902.7116,1112.8707595951855
zona777,130,E22_N419,train,311986,432338.5799,316197,449573.1097,1526.625957319804
zona777,131,E22_N419,train,3010,4267.2835,2454,3911.3167999999996,823.9884311994538
zona777,132,E22_N419,train,62977,90395.602,44347,63975.3174,1373.3952995822765
zona777,133,E22_N419,train,26371,36263.3481,17832,27138.8189,1047.2720417330274
zona777,134,E22_N419,train,27189,39226.5389,51828,74352.5605,1849.7119829461444
zona777,135,E22_N420,validation,87500,136045.9173,76048,112893.2921,2968.532046507462
zona777,136,E22_N420,validation,36575,54962.6738,32733,48181.1713,1477.4787622839212
zona777,137,E22_N420,validation,54581,85851.7343,45688,68328.9763,1570.9437420070171
zona777,138,E22_N420,validation,37865,59489.4571,34017,50547.0491,1351.251703094691
zona777,139,E22_N420,validation,19090,31219.272,16512,24442.5987,1077.7188475626754
zona777,14,E22_N420,validation,7795,11985.724400000001,7280,10556.9219,771.090860683471
zona777,140,E22_N420,validation,3956,5939.4831,440,708.8811000000001,963.9428448127584
zona777,141,E22_N420,validation,21955,34283.6785,20053,30048.1254,714.4951538424939
zona777,142,E22_N420,validation,9767,14778.5201,14644,21621.2931,839.2757045907201
zona777,143,E22_N420,validation,48858,73332.6801,36093,52954.3499,1186.795545621775
zona777,144,E22_N420,validation,46765,74320.1681,35795,53145.3341,530.4760120436549
zona777,145,E22_N420,validation,23273,37303.5787,26099,38266.3655,1362.613720960915
zona777,146,E22_N419,train,9656,14697.1471,24848,35908.3827,584.5446749645052
zona777,147,E22_N419,train,37632,54360.6673,24967,36464.082,959.58029448241
zona777,148,E22_N419,train,16993,23226.0113,15872,23017.233500000002,879.511032751936
zona777,149,E22_N419,train,27199,41128.2664,20983,30781.4791,2511.585392211564
zona777,15,E23_N420,test,31484,47410.0456,19370,28386.112100000002,786.718655901961
zona777,150,E22_N419,train,205858,286331.97589999996,179793,251256.14029999997,1868.3229616632448
zona777,151,E22_N419,train,93257,140172.0157,84227,124183.3442,3345.2446583397686
zona777,152,E22_N419,train,43099,65494.6363,30949,45555.8685,1417.3133694017306
zona777,153,E22_N419,train,38926,63653.2769,43891,64779.0841,1471.37081610132
zona777,154,E22_N419,train,11596,17890.3992,12239,17928.0119,1465.8954211450182
zona777,155,E22_N419,train,19545,30807.5293,13438,20429.4392,1007.3658216254552
zona777,156,E22_N419,train,27854,44818.4803,33730,51649.3432,1760.1511148726568
zona777,157,E22_N419,train,29103,45191.6391,16794,25533.2527,6932.062418764806
zona777,158,E22_N419,train,44534,60760.293,43187,61992.0595,1794.708999387687
zona777,159,E22_N419,train,37646,57877.0892,35246,51912.3672,1531.745410787058
zona777,16,E22_N420,validation,19046,29397.643399999997,14398,21718.2974,1196.57120454486
zona777,160,E22_N419,train,41791,63249.5228,46833,67861.07800000001,1040.6320938561112
zona777,161,E22_N419,train,136698,188430.8793,148024,211214.703,1153.31751535926
zona777,162,E22_N419,train,111192,170914.2915,129693,184502.981,1428.105403731577
zona777,163,E22_N419,train,19199,28787.2818,22309,33047.86,1172.2510793870315
zona777,164,E22_N419,train,30610,46435.2518,23671,35101.5395,1471.1532306419683
zona777,165,E22_N419,train,72128,109861.4543,50640,74246.7739,1474.7128724383656
